network_id,name
0,Nickelodeon Latin America
1,The CW
2,Fox
3,Deutscher Fernsehfunk
4,Federalna televizija
5,PBS Kids
6,NHK
7,TV Nova
8,Starz
9,MBC Group
10,RÚV
11,TDCC
12,SundanceTV
13,DTAGDAB
14,TNT
15,W
16,ICTV
17,Disney Junior
18,Nat Geo Wild
19,SKYWITN
20,Sender Freies Berlin
21,CBC Television
22,Mega
23,ID
24,USA Network
25,VICE TV
26,France 2
27,La 1
28,Colors TV
29,Yle TV2
30,Fusion
31,tvN
32,REN TV
33,MTV Germany
34,Fox Broadcasting Company
35,UP
36,Ion Television
37,Radio Television of Croatia
38,Sky One
39,British Broadcasting Company Limited
40,Rai 2
41,The Rotten Tomatoes Channel
42,FXX
43,SKY
44,Fox (Italy)
45,RTL 4
46,HereTV
47,Canal 8
48,WABC-TV
49,CBS
50,FUSION
51,NDR Fernsehen
52,RTV Pink
53,Kids' WB
54,Korean Broadcasting System
55,M6
56,E4
57,NHK Radio 1
58,Food Network Canada
59,SKYREP
60,Audience Network
61,SKYCPSD
62,Discovery+
63,AB3
64,Norddeutscher Rundfunk
65,FOXTEL
66,TNTLC
67,TBS Television
68,RTV Studio B
69,TV-6
70,TVONE
71,Bravo
72,Sony Entertainment Television
73,iTunes
74,1+1
75,TV Land
76,IPLAYER
77,CNBC
78,YTV
79,Telecinco
80,Three
81,Domashny
82,Fox Sports 1
83,Channel 8
84,CCTV-10
85,ITV Yorkshire
86,Schweizer Fernsehen
87,GOLDE
88,MTV Spain
89,ABC Kids
90,Fox News
91,Kanal D
92,NRK1
93,Munhwa Broadcasting Corporation
94,Nickelodeon
95,G4
96,SWR Fernsehen
97,Rai Yoyo
98,RecordTV
99,Kanal 5
100,Food Network
101,Univision
102,Fuji Television
103,Telesistema Mexicano
104,GMA Network
105,DR Ramasjang
106,TVP1
107,DD National
108,BBC Three
109,TFX
110,RCTV
111,ARTEFRC
112,NHK General TV
113,SBS 6
114,Television New Zealand
115,broadcast syndication
116,SKYCN1
117,ANIME
118,Korea Educational Broadcasting System
119,TV Vijesti
120,BBC Two
121,Canale 5
122,Prva Srpska Televizija
123,TF1
124,Cooking Channel
125,MyNetworkTV
126,TMXJP
127,WDR Fernsehen
128,FX
129,STZE
130,Spectrum
131,STB
132,TV 2 Danmark
133,ProSieben
134,RTL II
135,OWN
136,XEW
137,Télétoon
138,SBS TV
139,Sveriges Television
140,BET+
141,Vizion Plus
142,Rai 1
143,Fox Deportes
144,HBO
145,Seoul Broadcasting System
146,OUTtv
147,Ketnet
148,RTL Televizija
149,Caracol Televisión
150,Extreme Sports Channel
151,BBC2HD
152,Acorn TV
153,Telefe
154,VOX
155,Disney+
156,Star Plus
157,ABC Australia
158,Hot
159,Zhejiang Television
160,La 2
161,Shudder
162,Oxygen
163,Network 10
164,Prime Video
165,Animal Planet
166,TTV Main Channel
167,TruTV
168,Toon Disney
169,Canal+
170,Nova TV
