tvseries_id,creator_id
1,355
1,1623
1,785
2,756
3,709
3,64
5,2275
8,80
9,3179
9,1093
10,2049
10,529
11,290
13,1239
14,2681
14,2301
14,894
15,894
16,2681
16,2301
16,894
17,251
17,2975
18,2212
19,2267
19,613
20,2267
20,613
21,613
21,2282
22,2770
23,3001
24,2892
25,1725
25,114
28,2376
28,3572
29,1893
29,2227
30,2561
30,2935
31,251
31,669
33,1693
34,2253
35,1254
36,3598
36,2032
36,650
39,1695
40,996
40,1011
41,2217
41,1119
42,3569
43,3001
44,1168
45,3281
45,1143
46,443
47,320
49,2364
50,1421
51,2868
51,3417
52,1771
54,1236
55,1151
55,2692
56,1437
57,2399
58,3355
59,2967
59,1151
59,2692
60,1688
60,330
61,595
62,595
63,330
63,2549
64,330
64,2478
64,2549
66,2894
67,643
67,2860
68,2480
68,2000
68,1895
69,1269
69,2384
70,1186
71,78
71,2329
72,2617
74,1910
75,589
75,2256
75,1086
77,2485
78,2485
80,2480
81,114
81,240
81,3365
82,2152
83,1813
84,1690
85,2864
86,136
87,2292
87,2787
88,1964
89,1522
90,3317
91,3436
92,828
93,1581
93,998
94,1528
94,1959
94,3187
95,100
95,364
95,3235
96,230
97,2312
98,1530
99,971
101,1629
102,837
103,2860
105,2629
105,749
106,3328
106,2841
107,3442
108,2474
108,810
109,489
109,442
110,2000
111,1885
111,313
112,2928
112,3603
113,94
113,1757
114,3175
115,3442
116,2796
116,1335
116,1487
117,838
119,3544
120,520
120,3604
120,2344
121,3455
122,771
123,2119
123,2775
124,3470
126,1095
127,3162
128,3604
129,3180
131,726
132,306
133,1796
134,2782
134,741
134,1499
135,306
135,256
136,496
137,1725
138,541
140,489
141,2328
143,2876
143,2457
144,651
145,2450
146,2574
146,1072
147,864
147,2689
148,1065
148,2071
148,3224
149,207
150,251
150,1695
151,1515
152,2974
152,2293
153,1215
154,2865
154,442
155,3284
155,3539
156,1007
157,2175
157,2611
157,2182
158,502
158,1879
159,2152
161,3314
162,1454
162,1742
162,1287
163,37
163,3608
164,2860
166,2409
166,414
167,2656
168,2956
168,3035
169,3442
170,2590
171,2420
172,2175
173,1695
174,1559
175,62
175,7
176,2699
177,1725
178,3282
179,3486
179,864
180,2233
180,3604
180,1630
181,1385
181,1227
181,3393
182,1227
183,3330
184,2859
184,1582
184,1676
185,587
185,1050
186,3136
186,1229
186,897
187,1719
187,45
187,2213
189,65
189,488
190,2165
191,444
192,1597
192,769
193,2956
193,2409
193,414
194,2935
195,2409
195,414
196,3564
197,380
198,485
198,3422
199,1854
199,3509
200,2240
200,3018
200,1804
201,1697
202,1160
203,2154
204,3093
204,797
205,1813
206,3203
207,36
207,2468
207,3102
208,3547
209,2334
209,2221
210,1345
211,3030
212,145
212,2935
213,1335
213,1487
213,3074
214,2205
215,1405
216,1392
216,2938
217,670
218,2304
218,1490
219,383
220,2187
221,3357
221,3512
221,1181
222,444
223,3595
223,256
223,306
224,2505
224,654
225,2158
226,2860
226,3539
227,429
227,2056
228,749
228,2629
229,3572
230,3572
230,565
231,3572
232,1677
233,837
234,507
234,2957
235,494
235,1860
236,494
237,1432
237,1494
238,3141
238,889
239,1325
240,772
240,888
240,3169
241,283
242,946
242,2873
242,357
243,1724
243,2866
243,2399
244,3165
244,441
244,2596
245,1876
246,761
247,1664
248,246
248,958
248,293
249,3482
249,516
250,246
250,293
250,958
251,2396
251,297
252,3001
252,336
252,997
253,3308
255,48
256,1389
256,2077
257,2100
258,3479
259,2196
259,393
260,1863
261,2552
262,198
262,1277
263,2241
264,361
265,3492
265,2786
267,338
268,2703
268,3024
268,2058
269,2913
269,123
270,2411
271,2300
272,3578
274,1760
274,868
275,1802
275,3458
276,1663
277,2397
277,382
278,394
279,696
280,387
280,3479
281,2491
281,1442
281,2977
282,1695
283,609
283,3522
283,2421
284,2004
285,1663
285,2340
286,567
287,961
287,340
288,2961
288,727
289,2694
290,1012
292,2751
292,2359
294,2184
294,497
296,664
297,3155
297,1393
298,2421
298,1737
299,2477
299,3095
300,969
301,2553
301,3494
301,1568
302,955
302,1381
303,3410
303,2431
304,2525
304,740
304,466
305,2799
306,1159
308,554
309,3472
310,1920
311,3565
312,2502
313,814
315,2700
316,2451
316,3382
317,2451
317,3382
319,2856
320,3355
320,2833
321,2138
321,2102
322,143
323,1690
324,3579
325,556
325,2275
326,787
326,2311
327,2473
328,444
329,1509
330,2330
332,731
335,245
335,1075
336,2965
338,443
340,2594
340,599
340,309
341,1095
341,3184
341,3097
342,3539
342,3571
343,619
345,322
346,1198
347,1211
347,1040
348,1093
349,125
350,3494
350,1568
351,3539
352,2653
352,2878
353,1505
354,1699
355,820
358,2861
358,326
358,202
360,1353
360,178
361,2661
362,2828
363,1527
363,3117
364,3526
365,2569
365,1360
367,2559
368,1593
368,2796
368,1017
369,1938
369,620
370,718
371,2669
371,2225
372,98
372,3089
372,1523
374,2024
374,691
375,1326
376,421
377,2914
378,2633
378,610
379,3123
380,847
381,2455
381,2742
382,2200
383,515
383,1611
385,3503
385,1280
385,30
386,1599
386,3261
387,1897
387,2339
388,2950
388,225
390,2669
390,2225
391,251
392,1148
394,2549
394,367
395,3296
395,165
398,415
400,147
401,2916
401,2452
401,1327
402,1851
403,1093
403,560
403,2346
404,639
405,22
405,1860
406,3553
406,1052
406,2616
407,1989
407,1642
407,331
408,1353
408,3031
409,1167
410,1802
410,3458
411,3565
411,3181
411,1009
412,3155
413,692
417,359
417,1068
418,3175
419,675
420,1877
420,2291
420,1874
421,3512
423,1813
424,1720
424,2063
424,877
425,1076
425,1282
425,2104
426,1237
427,208
428,3576
429,1774
430,1068
430,1184
431,3479
432,2538
433,68
433,2175
434,3442
436,3575
437,1507
437,3246
438,2749
439,1507
439,3573
440,669
442,251
442,2975
443,263
444,3540
445,588
445,1347
446,434
446,1537
447,2871
448,3203
449,1313
449,1110
450,1353
450,444
451,360
451,2969
452,2061
453,702
454,2498
455,3518
457,2736
457,2281
458,2793
458,3599
459,3317
460,1558
460,3522
460,3273
461,3049
462,2631
463,1164
464,3447
464,1319
466,2259
467,2573
468,2285
468,896
470,2518
470,3496
471,517
471,3581
471,1564
472,436
474,2860
475,775
475,2354
475,1652
476,666
477,2594
477,599
477,309
478,510
478,51
479,32
480,2593
481,376
481,185
481,1909
482,1220
482,1709
483,2843
484,669
485,1725
486,2192
487,2426
487,1845
487,2796
