tvseries_id,network_id
0,120
1,398
2,49
3,387
4,300
4,401
5,204
6,377
7,445
8,377
9,34
10,80
11,445
12,471
13,347
14,49
15,49
16,49
17,34
18,377
18,115
18,446
19,327
20,327
21,327
21,267
22,125
22,1
22,143
22,387
22,82
22,327
22,24
22,34
23,144
24,240
24,120
25,204
26,120
27,469
28,34
29,260
30,439
31,439
32,359
33,128
34,401
35,377
36,377
37,439
38,377
39,377
40,439
41,377
42,439
43,34
44,204
45,439
46,1
46,204
46,14
47,416
47,379
48,49
49,469
50,1
51,387
52,128
53,445
54,144
55,446
56,445
57,239
57,81
57,245
58,379
59,446
60,387
61,439
62,115
63,115
64,387
65,115
66,439
67,49
68,34
69,215
70,439
71,144
72,49
73,46
74,377
75,267
76,120
77,439
78,34
79,49
80,34
81,439
82,144
83,377
84,439
85,359
86,181
87,49
88,34
89,295
90,439
91,439
92,377
93,377
94,446
95,115
96,34
97,49
98,469
99,401
100,120
101,49
102,34
103,377
104,445
105,366
106,271
107,94
108,34
109,377
110,469
111,377
112,49
113,204
114,451
114,1
114,387
115,94
116,49
117,144
119,439
120,34
121,377
122,14
123,49
124,451
124,34
125,53
126,49
127,337
128,377
129,267
130,145
131,446
132,128
133,49
134,271
134,446
135,128
136,377
137,204
137,387
138,49
139,362
139,176
139,139
140,439
140,377
141,49
142,260
143,49
144,445
145,377
146,49
147,49
148,21
149,168
149,89
149,446
150,439
151,24
151,144
152,94
153,243
153,34
154,24
155,327
156,204
157,439
158,377
159,144
160,93
161,24
162,120
162,401
163,377
164,439
165,172
166,120
167,439
168,439
169,94
170,184
171,49
172,49
173,377
174,469
175,475
176,14
177,34
178,24
179,49
180,377
181,1
182,49
183,144
184,49
185,49
186,377
187,439
188,454
189,439
190,1
190,204
191,49
192,377
193,439
194,34
195,120
195,401
196,422
196,267
197,377
198,401
199,271
200,359
201,49
202,439
203,49
204,417
205,377
206,387
207,402
207,94
208,267
209,34
210,97
210,94
210,40
210,174
211,1
212,1
213,377
214,49
215,49
216,120
217,439
218,144
219,377
220,439
221,53
222,34
223,34
224,439
225,144
226,49
227,123
228,359
229,445
230,439
231,439
232,445
233,439
234,267
235,267
236,471
237,439
238,128
238,42
239,445
240,377
241,267
242,267
243,267
244,327
244,95
245,377
246,34
247,1
247,204
248,34
249,377
250,34
251,24
252,1
253,144
254,439
255,49
256,377
257,34
258,451
258,73
258,374
258,377
259,402
259,94
260,439
261,271
262,377
263,435
264,446
265,34
266,471
267,115
268,34
269,75
