tvseries_id,producer_id
14,2311
16,1118
17,2001
18,1366
19,536
20,1173
20,1982
21,536
21,2649
21,1982
22,1690
22,2474
22,1709
25,1027
25,1109
25,1530
25,1152
25,1049
26,1601
26,1075
31,2446
33,1494
33,1334
33,1842
33,1490
35,1085
38,922
38,455
39,3252
40,638
41,2938
50,422
50,1266
50,1364
50,438
50,1993
52,1185
52,1580
52,3151
53,595
54,2560
54,1063
58,3013
61,423
61,2500
61,1014
61,1851
63,282
63,2254
63,1100
64,1486
64,604
64,2185
64,2254
64,282
67,1845
67,1055
67,2251
67,400
67,1284
67,228
67,930
67,2550
67,1229
68,617
68,3116
68,2186
70,90
73,1849
77,2151
82,1886
88,458
88,2681
89,1350
90,1134
90,1042
90,2984
92,3253
94,2856
95,84
98,1358
98,1667
98,2625
98,3125
98,1652
98,1098
98,1133
99,275
104,3231
107,3089
108,716
109,1101
110,397
110,1379
110,64
110,1771
110,510
110,183
110,1395
110,1671
111,265
112,2607
114,755
115,3089
123,1862
124,412
124,2771
126,1180
126,3019
126,1250
126,1609
126,796
126,950
129,2850
135,257
135,209
135,1117
136,420
137,2393
137,3135
137,2181
137,2631
137,3190
137,791
137,1506
137,1530
137,2941
137,2965
145,2162
155,2947
156,2938
158,427
159,1886
162,678
163,3267
165,2494
167,3095
168,3023
171,107
177,1530
177,2097
177,2941
177,2465
177,1023
177,791
178,456
182,2448
184,1461
184,956
188,2106
189,1162
192,2938
194,426
198,975
214,1911
214,688
214,2939
214,1221
214,3119
215,2399
215,3034
215,3048
215,105
217,1004
218,2019
218,2243
218,1329
222,1314
223,2471
223,1272
232,1746
233,744
234,431
235,1641
237,1279
237,1330
239,2492
247,1455
249,3188
251,1950
253,2974
259,2452
260,1644
268,2418
271,2016
271,2208
271,630
271,2059
274,2011
274,1562
274,772
276,1453
277,2365
288,2987
292,3089
296,425
301,2257
302,723
302,2169
302,1135
302,1489
302,1337
302,825
302,335
319,2560
331,595
332,1377
333,3105
333,2257
333,2125
334,2178
334,816
336,2399
338,1316
338,2192
340,3071
340,2299
348,802
352,2364
355,764
365,1197
366,1590
366,2890
367,2257
370,2614
374,84
376,2273
377,139
378,825
380,1411
392,3087
394,2254
398,355
400,210
402,1630
403,2074
403,1250
403,937
403,490
403,2056
403,1312
411,3217
416,157
423,1608
424,1526
427,1875
434,3089
439,3224
440,202
442,338
446,1507
447,2418
450,1191
453,2192
457,139
459,2984
461,2257
463,357
464,851
465,509
470,1624
470,2227
471,948
474,228
479,835
479,1893
479,37
479,1987
479,347
479,1810
485,1530
491,3141
500,879
500,2853
522,426
522,716
522,1841
522,284
522,197
529,2474
530,2474
540,2106
541,222
546,2961
554,164
557,535
587,1420
591,3149
591,2474
591,1709
605,837
628,732
631,1794
640,2474
640,1709
640,1690
645,123
650,2322
662,563
666,2494
669,164
672,1703
673,3243
684,1808
728,2856
744,2540
761,575
767,45
767,3232
768,1660
770,837
772,1808
788,1371
815,1118
817,1006
826,1484
826,1277
846,123
850,1894
886,164
889,2227
906,2589
918,1662
925,110
926,928
927,837
934,2430
938,2318
940,2256
940,270
940,3060
951,2070
954,2318
966,1945
989,202
1006,247
1022,2938
1050,2080
1053,1894
1055,761
1073,2227
1096,2902
1098,2392
1103,828
1128,2307
1129,992
1145,1143
1146,949
1153,1092
1169,210
1200,928
1205,2897
1207,2219
1210,957
1215,150
1241,2430
1250,1498
1261,247
1278,1121
1279,618
1282,123
1289,1762
1289,304
1289,1345
1289,1681
1320,2502
1325,2322
1351,597
1367,2461
1368,1034
1373,3216
1379,247
1401,1313
1407,2511
1423,89
1426,944
1447,595
1471,1913
1477,2637
1486,776
1496,2986
1496,150
1496,3233
1496,3217
1496,1751
1496,1937
1504,1785
1509,597
1526,1004
1564,2184
1565,502
1568,2938
1585,671
1585,114
1597,1887
1597,2128
1610,967
1614,427
1625,1600
1640,2963
1655,1430
1662,558
1684,1496
1702,291
1703,2192
1704,1960
1712,597
1726,1101
1750,1153
1755,3182
1755,232
1755,821
1755,243
1755,1537
1757,427
1762,2615
1762,2199
1792,780
1812,164
1844,1004
1845,3141
1847,957
1860,2106
1862,3204
1873,2285
1884,1589
1885,268
1885,241
1885,840
1885,239
1885,1816
1894,535
1945,2074
1975,2284
1975,2218
1975,65
1986,3047
1992,1552
1994,1248
1994,89
2000,1093
2000,3058
2000,477
2001,2810
2001,876
2002,378
2002,1048
2002,3214
2004,83
2004,2715
2004,969
2004,874
2004,3075
2004,3094
2004,2660
2005,1428
2005,2798
2005,2578
2005,1417
2005,3241
2005,58
2005,2910
2007,899
2007,846
2007,3074
2007,2138
2007,2807
2007,2803
2007,2813
2007,2922
2007,106
2007,2478
2007,1110
2007,2935
2009,919
2009,2940
2010,372
2010,1795
2010,253
2010,17
2011,804
2011,1408
2011,2378
2012,886
2012,1566
2012,1256
2012,433
2013,489
2014,2630
2014,3179
2014,2977
2018,2694
2018,127
2018,910
2020,3007
2021,350
2021,952
2021,608
2021,235
2021,32
2022,1843
2022,1586
2022,2802
2022,216
2022,701
2023,1285
2023,1936
2024,1805
2024,739
2024,1643
2024,1689
2024,3131
2025,329
2025,1675
2025,2424
2025,773
2025,292
2026,2662
2026,373
2026,1827
2026,1047
2026,223
2026,3237
2028,1949
2030,373
2030,1827
2030,1047
2030,223
2030,2676
2030,442
2030,799
2030,212
2030,743
2031,39
2032,1725
2032,2618
2032,511
2032,3210
2032,418
2032,1188
2032,72
2032,180
2033,1043
2033,3158
2033,862
2033,818
2033,390
2039,2172
2039,1550
2039,2786
2039,2954
2040,1473
2040,2879
2040,2816
2040,2779
2040,2250
2040,3260
2040,875
2040,2301
2041,2486
2041,2485
2042,84
2042,2867
2042,1901
2042,2233
2043,2786
2043,349
2043,2010
2043,2954
2043,1996
2043,1584
2044,266
2044,3140
2044,3068
2044,175
2044,2723
2047,3083
2047,923
2047,1997
2047,442
2047,631
2047,3142
2048,1906
2048,1711
2048,1587
2048,1151
2049,2057
2049,2521
2049,481
2049,1240
2049,1610
2050,1686
2052,2451
2052,842
2052,517
2052,1423
2054,2373
2054,1908
2054,1270
2054,3144
2054,1573
2054,915
2054,980
2055,2325
2055,1015
2056,1745
2056,2613
2056,3039
2056,339
2056,1749
2056,2244
2056,453
2056,3016
2056,935
2056,1672
2056,41
2056,2966
2057,882
2057,1507
2057,1629
2057,958
2057,290
2058,2930
2058,508
2058,1079
2058,395
2058,95
2058,2859
2058,1025
2058,2033
2060,369
2060,1486
2060,2046
2060,2289
2060,548
2061,1352
2062,1473
2062,2301
2062,2458
2062,2879
2062,2469
2062,945
2062,2671
2063,480
2063,1364
2064,480
2064,893
2064,3031
2064,2085
2064,1692
2064,1374
2064,269
2065,488
2065,1611
2065,2326
2065,2176
2065,1917
2065,2419
2066,2221
2066,1914
2066,550
2066,2818
2066,1770
2067,739
2067,1689
2067,3131
2068,2772
2068,1870
2068,2127
2068,2339
2068,1976
2070,2944
2070,684
2070,2940
2070,877
2070,864
2073,440
2073,3136
2073,2545
2073,870
2073,3026
2073,979
2075,1510
2075,1009
2075,2360
2075,1270
2075,3100
2076,413
2076,1374
2076,2234
2076,2710
2076,3220
2076,1951
2076,868
2076,102
2076,1086
2076,3193
2077,816
2077,1115
2077,2583
2077,2627
2077,391
2077,2000
2077,1513
2078,426
2078,2710
2078,868
2078,2975
2078,1298
2078,3126
2078,1813
2078,478
2079,2605
2079,608
2079,32
2079,2688
2079,769
2079,2215
2079,235
2080,2143
2080,88
2080,881
2080,1336
2080,1150
2080,2177
2080,2159
2080,1969
2080,1930
2080,938
2080,409
2080,2209
2080,2596
2081,216
2081,2994
2081,1843
2081,2719
2081,2802
2081,1586
2082,2304
2082,1860
2082,842
2082,1393
2082,517
2082,871
2082,786
2083,2721
2083,451
2083,1521
2083,1917
2083,367
2083,1702
2083,385
2084,739
2084,1872
2084,2878
2084,1625
2085,361
2085,1032
2086,2808
2086,2865
2086,2420
2086,2061
2086,698
2087,451
2087,367
2087,1702
2087,385
2087,342
2087,3040
2088,451
2088,367
2088,342
2088,1702
2088,385
2088,2706
2088,1128
2089,739
2089,2946
2089,910
2089,1613
2090,1061
2090,919
2090,1872
2091,392
2092,3205
2093,716
2093,2940
2093,1466
2093,2944
2093,684
2093,1799
2097,1446
2097,2632
2097,2759
2097,1291
2097,1066
2097,170
2098,1680
2098,231
2100,1098
2100,1032
2100,2625
2100,2662
2100,1827
2100,1047
2102,717
2102,2804
2102,68
2102,2585
2102,429
2102,564
2102,2854
2103,3270
2103,2646
2103,2223
2104,369
2104,3025
2104,3001
2104,20
2104,1538
2104,643
2104,3103
2104,2337
2104,2349
2105,677
2105,126
2105,2612
2105,1820
2105,1112
2105,3171
2105,2759
2106,257
2106,209
2106,2471
2106,176
2106,972
2106,1439
2107,2835
2107,1651
2107,2057
2107,276
2107,823
2107,2926
2107,2405
2109,997
2109,1118
2109,2956
2109,3077
2111,763
2111,2283
2111,676
2113,1719
2113,1659
2113,3201
2114,2573
2114,116
2114,1549
2114,2231
2114,1367
2116,2290
2116,52
2116,91
2117,2087
2117,435
2117,1787
2118,2164
2118,1169
2118,2597
2119,668
2119,2493
2119,166
2119,2564
2119,2565
2119,2012
2119,2470
2120,567
2120,2886
2121,792
2121,2458
2121,59
2121,2129
2121,905
2122,2455
2122,1090
2122,2546
2122,3184
2123,2642
2123,384
2125,1736
2125,2059
2125,35
2125,2946
2125,2514
2125,3030
2126,2072
2126,77
2126,3028
2126,1579
2126,2309
2126,119
2126,1413
2126,2282
2126,565
2126,1246
2128,1476
2128,804
2128,2395
2128,2815
2128,462
2129,1699
2130,1197
2131,3062
2131,1603
2135,2249
2135,111
2135,1029
2135,32
2135,608
2136,1939
2136,2653
2137,2498
2138,441
2138,1933
2138,2601
2138,1925
2138,2450
2138,2913
2139,2929
2139,2574
2139,2312
2139,1975
2139,2460
2139,36
2140,1503
2140,1198
2140,937
2140,1888
2141,1712
2141,78
2141,1805
2141,1216
2141,300
2141,428
2143,2837
2143,623
2143,1701
2143,2122
2143,3053
2144,1931
2144,473
2144,3072
2146,590
2146,1181
2146,2704
2146,2900
2146,1806
2146,237
2147,2005
2147,1572
2147,2057
2147,20
2148,1862
2148,3270
2148,3244
2150,1791
2150,1088
2150,1825
2150,2555
2150,971
2150,2576
2152,1512
2152,1685
2152,1946
2152,2262
2152,2190
2152,881
2152,2726
2152,2727
2152,1456
2153,1334
2153,1842
2153,2880
2153,2901
2154,674
2154,1062
2154,3066
2154,1738
2155,1771
2155,397
2155,64
2155,1324
2155,510
2155,718
2155,11
2155,2232
2155,1172
2155,577
2155,267
2155,2496
2155,1464
2155,3218
2157,369
2157,3203
2157,2701
2157,1890
2158,1465
2158,1313
2158,2473
2158,167
2158,1952
2158,2288
2159,3010
2159,2792
2160,559
2160,2004
2161,1361
2161,2870
2161,1124
2161,2891
2161,929
2161,1019
2161,8
2163,1607
2163,3093
2163,1000
2163,911
2165,2438
2165,2709
2165,2044
2165,820
2165,1136
2165,1164
2165,2069
2165,1244
2167,437
2167,1415
2167,2525
2167,230
2167,3016
2167,544
2168,834
2168,2907
2169,659
2169,3125
2169,1098
2169,1667
2169,2625
2169,2616
2169,285
2169,135
2169,1652
2169,1748
2169,1226
2169,1833
2169,1634
2169,2476
2170,3073
2170,2690
2170,1146
2170,3189
2170,426
2172,2930
2172,2422
2172,1571
2172,973
2172,1671
2174,372
2174,17
2174,2453
2174,1706
2174,1764
2174,1892
2175,2379
2177,1187
2177,2674
2177,2638
2177,2017
2178,3225
2178,484
2178,3161
2178,131
2178,2700
2178,685
2179,1560
2179,2946
2179,2014
2179,1797
2179,1300
2179,2515
2179,2768
2179,783
2182,1879
2182,1207
2182,1765
2182,204
2182,2501
2182,3207
2183,554
2183,421
2183,589
2183,1911
2183,2939
2184,411
2184,1145
2184,1529
2184,316
2184,1955
2184,497
2184,728
2185,950
2185,1841
2186,2821
2186,2104
2186,1106
2187,2821
2187,2104
2188,1810
2188,2399
2188,2242
2188,1104
2188,2258
2188,1987
2188,835
2188,514
2189,951
2189,2347
2189,2426
2189,1308
2190,1810
2190,1987
2190,2399
2190,2052
2190,2242
2190,1104
2190,514
2190,2549
2191,937
2191,1432
2193,937
2193,1245
2193,650
2193,2816
2193,2250
2193,2779
2193,1955
2193,497
2193,884
2193,3175
2193,30
2193,508
2193,1929
2193,1844
2193,1369
2193,218
2193,1460
2193,932
2195,1802
2195,28
2195,1569
2195,73
2195,1729
2195,2517
2195,1718
2195,2238
2195,2224
2196,953
2196,430
2196,1083
2197,3192
2197,1307
2197,2018
2197,86
2197,1510
2197,629
2198,3192
2198,555
2198,1307
2198,86
2198,1510
2198,629
2198,2018
2198,2523
2198,1210
2198,2825
2199,1431
2199,172
2199,2585
2200,1251
2200,1398
2200,531
2200,2187
2202,1686
2202,2610
2202,1772
2202,448
2202,594
2202,2144
2202,2728
2202,863
2203,2219
2203,2867
2203,84
2203,1438
2204,797
2204,3095
2204,1846
2204,1689
2204,2383
2205,1272
2205,2786
2205,2954
2205,371
2206,2696
2206,3180
2206,994
2207,1852
2207,1304
2207,2002
2207,2832
2207,374
2208,97
2209,2319
2209,1391
2209,3123
2210,847
2210,2637
2210,1119
2210,18
2211,2786
2211,2176
2211,2954
2211,1364
2211,438
2211,128
2212,2947
2214,706
2214,585
2214,1602
2214,1565
2214,326
2214,175
2216,3078
2216,254
2217,1837
2217,891
2217,3133
2217,2558
2217,2916
2217,1729
2217,1200
2217,3260
2218,807
2218,3015
2218,1557
2218,2787
2218,964
2218,925
2218,2168
2218,1180
2218,1388
2218,1915
2219,1416
2219,1263
2219,661
2222,1230
2224,257
2224,209
2224,3246
2224,2471
2225,480
2225,66
2225,1364
2225,438
2226,1333
2226,1370
2226,896
2226,2797
2226,238
2226,280
2226,1828
2226,1434
2227,1272
2227,2786
2227,2954
2227,371
2227,769
2229,2522
2229,937
2229,1425
2229,2663
2229,1581
2229,218
2229,2196
2229,572
2229,859
2229,2625
2229,2272
