tvseries_id,pc_id
1,3774
1,1088
1,2819
2,2089
2,395
2,2181
3,1094
3,4082
3,2822
5,2091
5,2442
5,503
6,2648
6,1381
6,936
7,2022
7,3275
7,1983
8,3146
9,1099
9,1855
10,1982
11,651
12,2892
12,515
13,2556
13,3638
14,3652
14,93
14,244
15,3652
15,4321
15,366
16,3652
16,4321
16,366
17,2317
17,1013
17,3160
18,1767
19,1073
19,2910
20,1350
20,1073
20,2600
21,1687
21,3465
21,3432
22,3846
23,3997
23,3354
23,4172
24,539
24,2628
24,1314
25,3630
25,1203
25,3649
26,539
28,2331
28,3431
28,1092
29,3434
29,539
29,681
30,2865
30,2696
30,4171
31,1959
32,3011
33,2853
33,4357
33,3012
34,466
34,539
35,1398
35,1470
35,3094
36,396
37,2352
37,3943
38,133
38,1855
38,3744
39,133
39,627
40,875
40,3020
40,155
41,3970
42,487
42,3943
43,3986
43,3540
43,1425
44,1855
44,1359
44,4218
45,25
45,4299
46,928
46,1855
46,4171
47,2875
47,349
47,3984
48,1855
48,2625
49,1181
49,3296
49,427
50,503
50,358
50,2701
51,4041
51,2345
52,427
52,3437
52,877
53,712
53,2022
53,1584
54,3354
54,2371
54,2371
55,3166
55,242
55,1271
56,416
56,2286
57,1464
58,3383
59,703
59,1266
59,242
60,2441
60,2822
60,4041
61,1345
61,596
61,4041
62,4041
63,4041
64,4041
64,245
65,621
66,4344
66,1860
66,418
67,2277
67,2822
67,4321
68,2317
68,2402
68,2212
69,1476
69,472
69,4166
70,196
71,3703
71,3943
71,691
72,1767
72,146
73,3739
74,4309
74,3593
74,3039
75,269
75,3293
75,1090
76,539
77,2317
77,164
78,164
78,2317
78,2524
79,1345
80,2212
80,2317
80,2317
81,2216
81,594
81,3431
82,3354
82,2747
82,1249
83,2085
83,2317
84,3931
84,1952
84,3431
85,1624
85,4039
86,525
86,4118
86,427
87,1340
87,3457
87,489
88,2336
88,3296
88,427
89,1906
89,3473
89,430
90,3094
90,312
91,3839
91,1073
92,2317
92,1927
93,497
93,2240
93,427
94,242
94,3488
94,3166
95,3431
96,459
96,3538
96,1855
97,1579
98,3173
98,1596
98,4322
99,3968
99,4194
99,539
100,539
101,366
101,299
101,57
102,134
102,3604
102,2317
103,2277
103,3431
104,2428
105,4166
105,4289
106,1333
107,485
107,4179
108,692
108,134
108,744
109,3771
109,1445
109,1855
110,4231
110,780
110,3437
111,54
111,1425
111,3335
112,2317
112,2294
113,1067
113,40
113,3665
114,3794
114,3722
114,2030
115,1859
115,4179
115,1146
116,1611
117,2873
117,1548
117,2911
118,3547
119,396
119,344
120,4328
120,1855
120,748
121,1934
121,2317
121,2524
123,429
124,3053
124,4082
124,3431
125,1851
125,3822
126,152
126,1855
127,3277
128,3094
128,4328
129,3384
129,3466
129,1457
130,1294
131,3166
131,242
131,3949
132,3174
132,2526
132,3722
133,1579
133,2982
133,1660
134,1139
134,1767
135,1401
135,3575
135,2526
136,1776
136,1855
137,3630
137,3649
137,4120
138,3842
138,2701
138,2277
139,303
139,2258
139,2310
140,2633
140,3431
141,3146
141,198
142,2286
143,1711
144,2286
144,2269
145,4041
145,3921
145,1597
146,429
147,4177
147,1855
148,3577
149,1767
149,1139
150,787
150,2320
150,3431
151,3273
151,884
151,2431
152,2638
153,2417
153,2317
153,694
154,1625
154,1562
154,3377
155,3758
155,2836
155,418
156,623
156,2822
156,2182
157,2110
157,3031
157,523
158,2648
159,861
159,3354
160,2748
160,2775
161,1782
161,418
161,2878
162,539
162,1167
163,3893
163,2317
163,1232
164,2277
164,3431
165,1297
166,539
166,3354
167,414
167,4344
167,2616
168,3474
168,4082
168,2616
169,889
169,1142
170,2670
170,389
171,198
171,1112
171,1595
172,1053
172,124
172,1918
173,1855
174,1552
174,775
174,3173
175,3560
176,1102
176,3129
176,1855
177,3630
177,2317
178,847
178,3192
178,1463
179,4177
179,4295
179,1855
180,4328
180,3094
180,3192
181,2388
181,2922
181,2701
182,1419
182,2042
183,3495
184,2693
184,4067
184,4321
185,3018
185,185
186,2620
186,1660
186,1518
187,1744
187,2195
187,1183
188,276
188,276
188,996
189,2762
189,3751
190,1097
190,3280
190,1855
191,2317
191,124
191,523
192,4309
193,2525
193,418
193,4082
194,4171
194,1855
194,2865
195,539
196,676
196,2483
196,3652
197,3970
198,3520
198,1464
198,1688
199,242
200,1624
200,4039
200,3620
202,4225
202,418
202,3694
203,3643
203,366
203,3437
204,516
204,2007
204,519
205,2085
205,3631
205,2317
206,3045
206,2483
206,289
207,485
207,2228
207,2793
208,745
208,1090
208,2525
209,2417
209,2317
209,3673
210,2638
210,1859
210,1808
211,682
211,1855
211,2701
212,2473
212,358
212,4321
213,4089
213,804
213,3840
214,581
214,2246
214,2701
215,3094
215,2822
215,3287
216,747
216,4052
216,539
217,3694
217,3759
217,4225
218,3354
218,2899
218,1800
219,2833
219,358
219,1855
220,1970
220,2317
221,1820
221,1855
223,3575
223,2526
223,2317
224,2276
225,3354
225,3954
226,2277
226,1441
226,3431
227,3006
227,4334
227,2586
229,1803
229,1092
229,418
230,282
230,418
230,1900
231,1092
231,282
231,1900
232,2074
232,1688
233,3604
233,418
233,2616
234,1262
234,2223
234,220
235,2833
235,807
235,1855
236,4252
237,1702
237,1855
238,361
238,4082
238,2404
239,2419
240,2169
240,3094
241,1090
241,219
241,2854
242,1090
242,2880
242,853
243,3213
243,2175
243,1090
244,4332
244,325
244,1295
245,252
245,3192
245,3437
246,4104
246,3958
246,2317
247,1855
247,4218
248,3574
248,2317
248,4267
249,1784
250,4267
250,3574
251,3882
251,2011
251,3437
252,4247
252,366
252,2701
253,4006
254,3431
255,1855
255,1844
255,1317
256,2059
256,1066
256,2525
257,3583
257,3775
257,896
258,1597
258,3397
259,3949
260,1882
260,807
260,1008
261,2765
261,242
261,1565
262,4233
262,3605
262,1357
264,242
265,1611
265,1234
265,3943
266,2269
266,352
267,3462
267,4041
267,4313
268,2264
268,2783
268,2317
269,3950
269,175
270,4082
270,361
270,2404
271,3585
271,3987
271,297
272,2524
272,1159
272,4203
274,3261
274,3192
276,3354
276,176
277,95
277,3331
277,1155
278,4344
278,1138
278,2317
279,2031
279,3641
279,3993
280,124
280,4299
280,1053
281,2688
281,1055
281,392
282,1855
283,1820
283,35
283,3744
284,2881
284,3855
284,2310
285,3813
285,3800
286,2284
286,3201
287,507
287,1268
287,2148
288,1767
288,1808
289,3652
289,3325
289,3255
290,1280
291,2687
291,2908
291,3831
292,4218
292,4179
294,2246
294,2701
294,3437
295,3207
296,4344
296,1626
296,2575
297,2317
297,4248
297,1612
298,2352
298,3593
298,1855
299,2011
299,2910
300,3348
300,3431
301,1008
301,3431
302,432
302,2888
302,366
303,417
303,1552
303,3949
304,1465
304,1525
306,3100
306,3815
308,1638
308,4081
309,88
309,1419
309,3094
310,961
310,3985
310,3294
312,4316
312,4041
313,2613
313,2005
313,1855
315,3192
315,2889
315,1552
317,285
317,1930
317,2547
318,2978
319,2185
320,3335
320,1829
321,2119
321,282
321,3431
322,2795
323,3931
323,3431
324,396
325,503
325,358
325,2701
326,1698
326,3983
327,3004
327,1888
327,4331
328,523
328,2317
329,3435
329,817
330,1906
330,4344
330,2574
335,4164
335,1564
336,2661
336,3287
336,3192
337,3848
337,1546
337,2014
338,928
338,4328
338,1855
340,3004
340,4326
340,2822
341,2663
341,539
341,3354
342,1441
342,3431
